"Date","Price","Open","High","Low","Vol.","Change %"
"26-02-2024","0.089285","0.086127","0.090011","0.084192","1.81B","3.67%"
"25-02-2024","0.086123","0.086155","0.086789","0.085281","869.52M","-0.04%"
"24-02-2024","0.086154","0.084477","0.086347","0.083890","1.04B","1.98%"
"23-02-2024","0.084483","0.084097","0.085521","0.082952","1.35B","0.44%"
"22-02-2024","0.084111","0.084566","0.085453","0.083089","1.16B","-0.54%"
"21-02-2024","0.084568","0.086170","0.086260","0.082039","1.40B","-1.86%"
"20-02-2024","0.086173","0.089411","0.091433","0.083179","2.72B","-3.62%"
"19-02-2024","0.089409","0.085189","0.090771","0.085056","2.20B","4.95%"
"18-02-2024","0.085189","0.083565","0.085706","0.082875","945.43M","1.95%"
"17-02-2024","0.083564","0.085927","0.086063","0.082033","1.13B","-2.75%"
"16-02-2024","0.085924","0.085288","0.087912","0.084163","1.37B","0.75%"
"15-02-2024","0.085287","0.085503","0.088147","0.083992","2.20B","-0.25%"
"14-02-2024","0.085502","0.081062","0.086973","0.080499","2.31B","5.48%"
"13-02-2024","0.081062","0.082211","0.082977","0.079860","1.32B","-1.41%"
"12-02-2024","0.082223","0.081224","0.082808","0.079494","1.33B","1.23%"
"11-02-2024","0.081224","0.081417","0.083373","0.080885","1.06B","-0.24%"
"10-02-2024","0.081416","0.081552","0.082143","0.080344","715.38M","-0.16%"
"09-02-2024","0.081550","0.079849","0.082122","0.079849","1.25B","2.13%"
"08-02-2024","0.079847","0.080118","0.080836","0.079572","849.47M","-0.34%"
"07-02-2024","0.080122","0.078481","0.080267","0.078173","763.61M","2.10%"
"06-02-2024","0.078472","0.078338","0.079171","0.077771","621.75M","0.17%"
"05-02-2024","0.078336","0.078293","0.080270","0.077376","857.22M","0.06%"
"04-02-2024","0.078290","0.078732","0.079957","0.078048","519.09M","-0.55%"
"03-02-2024","0.078722","0.079267","0.079494","0.078557","495.60M","-0.69%"
"02-02-2024","0.079271","0.079357","0.079941","0.078612","774.41M","-0.11%"
"01-02-2024","0.079356","0.078756","0.079793","0.077572","917.12M","0.76%"
"31-01-2024","0.078755","0.079725","0.080259","0.078078","1.03B","-1.22%"
"30-01-2024","0.079728","0.081364","0.082154","0.079473","1.16B","-2.01%"
"29-01-2024","0.081361","0.078826","0.082948","0.078199","2.07B","3.22%"
"28-01-2024","0.078823","0.080122","0.081423","0.078239","859.62M","-1.62%"
"27-01-2024","0.080124","0.079826","0.080670","0.079032","759.14M","0.37%"
"26-01-2024","0.079832","0.077915","0.080324","0.077558","997.96M","2.46%"
"25-01-2024","0.077918","0.079040","0.079227","0.077122","1.03B","-1.43%"
"24-01-2024","0.079049","0.078207","0.080613","0.077677","1.43B","1.08%"
"23-01-2024","0.078206","0.080509","0.081843","0.076022","2.10B","-2.86%"
"22-01-2024","0.080509","0.085437","0.085515","0.080130","2.42B","-5.72%"
"21-01-2024","0.085395","0.088713","0.091362","0.084799","3.29B","-3.81%"
"20-01-2024","0.088775","0.078537","0.091151","0.078214","2.47B","13.02%"
"19-01-2024","0.078546","0.078039","0.078804","0.075009","1.21B","0.66%"
"18-01-2024","0.078031","0.080582","0.080790","0.077296","994.51M","-3.17%"
"17-01-2024","0.080582","0.081341","0.081581","0.079503","768.33M","-0.93%"
"16-01-2024","0.081340","0.081059","0.082457","0.079901","931.79M","0.36%"
"15-01-2024","0.081050","0.080026","0.081732","0.079897","700.23M","1.28%"
"14-01-2024","0.080027","0.080909","0.083915","0.079724","1.38B","-1.09%"
"13-01-2024","0.080911","0.080110","0.081345","0.078685","799.89M","1.00%"
"12-01-2024","0.080108","0.084575","0.085423","0.077926","1.72B","-5.28%"
"11-01-2024","0.084574","0.082990","0.087889","0.082230","2.33B","1.91%"
"10-01-2024","0.082987","0.079232","0.084870","0.076613","2.16B","4.74%"
"09-01-2024","0.079229","0.081305","0.083406","0.077116","3.45B","-2.59%"
"08-01-2024","0.081336","0.078223","0.081727","0.074175","2.20B","3.98%"
"07-01-2024","0.078223","0.080586","0.081415","0.077142","1.46B","-2.93%"
"06-01-2024","0.080584","0.082656","0.082656","0.078410","1.74B","-2.51%"
"05-01-2024","0.082657","0.084008","0.084798","0.080806","2.24B","-1.61%"
"04-01-2024","0.084010","0.082003","0.084575","0.081142","2.09B","2.45%"
"03-01-2024","0.082002","0.091044","0.092124","0.077105","3.33B","-9.93%"
"02-01-2024","0.091043","0.091994","0.094339","0.090522","1.71B","-1.02%"
"01-01-2024","0.091986","0.089543","0.092074","0.088504","924.37M","2.73%"
